iter	Passed	Remaining
0	2	214
1	3	189
2	5	176
3	6	159
4	8	159
5	9	156
6	11	152
7	13	151
8	14	147
9	16	145
10	17	143
11	19	141
12	20	138
13	22	137
14	23	134
15	25	133
16	26	131
17	28	129
18	30	129
19	31	127
20	33	126
21	35	124
22	36	123
23	38	121
24	39	119
25	41	117
26	42	116
27	44	115
28	46	113
29	47	110
30	48	108
31	50	107
32	52	105
33	53	104
34	55	102
35	56	100
36	58	98
37	59	97
38	61	95
39	62	94
40	64	92
41	65	89
42	66	88
43	67	86
44	69	85
45	71	83
46	72	82
47	73	80
48	75	78
49	76	76
50	77	74
51	78	72
52	80	71
53	81	69
54	82	67
55	84	66
56	85	64
57	87	63
58	89	61
59	90	60
60	92	59
61	94	57
62	95	56
63	97	54
64	99	53
65	100	51
66	102	50
67	103	48
68	105	47
69	106	45
70	108	44
71	109	42
72	111	41
73	113	39
74	114	38
75	115	36
76	117	35
77	119	33
78	120	32
79	121	30
80	123	28
81	124	27
82	126	25
83	127	24
84	129	22
85	130	21
86	132	19
87	134	18
88	135	16
89	137	15
90	138	13
91	140	12
92	142	10
93	143	9
94	145	7
95	146	6
96	148	4
97	149	3
98	151	1
99	152	0
